320.11,854.6,748,958,900,819,848,77,80,86,78,77
320.111,804.6,782,781,849,696,915,74,76,82,68,84
320.122,785.8,823,768,778,734,826,77,74,74,68,73
320.127,820.8,824,866,779,877,758,78,77,70,79,74
320.134,821,764,796,860,856,829,66,68,76,78,71
320.146,869,863,937,689,927,929,73,85,68,79,79
320.15,816.2,774,850,832,802,823,70,76,72,73,76
320.153,806,816,762,819,767,866,68,68,73,73,82
320.16,791.8,814,877,690,753,825,76,74,68,68,79
320.162,780.2,803,732,787,827,752,78,70,71,72,63
320.164,824.8,793,725,928,799,879,71,61,79,72,78
320.165,793.6,766,830,728,881,763,70,72,69,74,75
320.179,826.8,861,687,840,822,924,77,63,85,75,79
320.18,859.8,864,885,866,900,784,75,78,79,80,75
320.182,766.4,841,738,698,732,823,77,69,72,70,76
320.189,811.6,775,886,784,778,835,72,75,72,75,74
320.201,847.2,850,808,794,828,956,78,72,73,73,85
320.202,841,859,729,776,893,948,76,66,70,78,85
320.64,1077.2,1034,1090,1046,1237,979,95,94,95,99,98
321.647,952.4,974,973,859,1000,956,93,89,87,90,91
